,ZIP,City,State,Latitude,Longitude,County,Median Income,Population
0,31150,Atlanta,GA,33.844371,-84.47405,Fulton County,,
1,31646,Saint George,GA,30.518903,-82.08063,Washington County,,
2,31826,Shiloh,GA,32.803518,-84.69384000000002,Hardin County,22196,2238
3,30334,Atlanta,GA,33.702657,-84.439127,Fulton County,-666666666,0
4,31606,Valdosta,GA,30.802411,-83.19624,Lowndes County,24773,3543
5,31732,Cedar Springs,GA,31.169794,-85.0557,Kent County,,
6,30444,East Point,GA,33.696073,-84.450276,Fulton County,,
7,30531,Cornelia,GA,34.514215,-83.54118000000003,Habersham County,25113,10818
8,30746,Sugar Valley,GA,34.574804,-85.02481999999998,Gordon County,21581,940
9,30415,Brooklet,GA,32.3456,-81.62339,Bulloch County,30633,6161
10,31525,Brunswick,GA,31.260995,-81.49831999999998,Medina County,26050,29803
11,30263,Newnan,GA,33.38779,-84.82536,Coweta County,27424,58705
12,30384,Atlanta,GA,33.844371,-84.47405,Fulton County,,
13,30728,La Fayette,GA,34.696201,-85.25824,Chambers County,21067,20609
14,31714,Ashburn,GA,31.709742,-83.66519,Loudoun County,22190,5866
15,30747,Summerville,GA,34.489847999999995,-85.32928000000003,Dorchester County,22099,15438
16,31754,Georgetown,GA,31.860476,-85.07534,,,
17,30339,Atlanta,GA,33.87507,-84.46615,Fulton County,51086,23373
18,30354,Atlanta,GA,33.65883400000001,-84.39681999999998,Fulton County,22763,16398
19,31069,Perry,GA,32.460791,-83.73541,Noble County,25963,20167
20,30663,Rutledge,GA,33.614556,-83.61157,Delaware County,20060,3052
21,30145,Kingston,GA,34.237986,-84.97801,Caldwell County,29190,7142
22,30671,Maxeys,GA,33.748344,-83.18538000000002,Oklahoma County,,
23,31719,Americus,GA,32.085491,-84.25266500000002,Sumter County,18426,9145
24,31744,Doerun,GA,31.325004,-83.90937,Colquitt County,25365,2791
25,30364,Atlanta,GA,33.844371,-84.47405,Fulton County,,
26,30552,Lakemont,GA,34.763553,-83.44201,Delaware County,25919,1805
27,31758,Thomasville,GA,30.868187,-83.927785,Thomas County,,
28,30111,Clarkdale,GA,33.912473,-84.557181,Yavapai County,,
29,31071,Pineview,GA,32.13702,-83.52604000000002,Forrest County,20574,1200
30,30567,Pendergrass,GA,34.167309,-83.68536,Jackson County,29817,3188
31,30370,Atlanta,GA,33.844371,-84.47405,Fulton County,,
32,30919,Augusta,GA,33.386041,-82.09099599999998,Richmond County,,
33,30450,Portal,GA,32.55565900000001,-81.9242,Alameda County,15615,2192
34,30014,Covington,GA,33.581406,-83.851,Kenton County,24106,38445
35,31822,Pine Mountain,GA,32.867211,-84.88436999999998,Cobb County,26832,5929
36,31906,Columbus,GA,32.468442,-84.95128000000003,Franklin County,20587,20742
37,31816,Manchester,GA,32.862377,-84.60879,Greater Manchester,19761,5231
38,30335,Atlanta,GA,33.752406,-84.389676,Fulton County,,
39,30148,Marble Hill,GA,34.452988,-84.25925,New York County,-666666666,861
40,30187,Winston,GA,33.670405,-84.83809000000002,Cleveland County,35529,7918
41,30303,Atlanta,GA,33.752856,-84.39013,Fulton County,8515,6719
42,31066,Musella,GA,32.799959,-84.00588,Crawford County,26875,1492
43,30082,Smyrna,GA,33.859137,-84.53744,Cobb County,38053,29011
44,31635,Lakeland,GA,31.055578000000004,-83.07103000000002,Polk County,20662,6602
45,30234,Jenkinsburg,GA,33.325951,-84.03345999999998,Butts County,25606,2060
46,31798,Wray,GA,31.621764,-83.05502,Yuma County,23705,843
47,30750,Lookout Mountain,GA,34.957134,-85.37183,Walker County,15104,4753
48,31765,Meigs,GA,31.082141,-84.05767,Cherokee County,18770,2774
49,31139,Atlanta,GA,33.844371,-84.47405,Fulton County,,
50,31044,Jeffersonville,GA,32.63078400000001,-83.37026999999998,Clark County,19853,3463
51,30633,Danielsville,GA,34.17085,-83.24654,Madison County,26681,9227
52,31208,Macon,GA,32.806707,-83.691315,Bibb County,,
53,31551,Mershon,GA,31.496025,-82.27322,Clark County,17451,963
54,30710,Cohutta,GA,34.935105,-84.94641999999997,Whitfield County,31602,7154
55,30277,Sharpsburg,GA,33.387534,-84.65511,Washington County,39430,22247
56,31032,Gray,GA,33.003454999999995,-83.55078,Jones County,31832,15113
57,30114,Canton,GA,34.228478,-84.50402,Stark County,32216,53210
58,31316,Ludowici,GA,31.74991,-81.75813000000002,Perry County,26653,13243
59,31534,Douglas,GA,31.571596000000003,-82.85463100000003,Douglas County,,
60,31131,Atlanta,GA,33.844371,-84.47405,Fulton County,,
61,30312,Atlanta,GA,33.745739,-84.3764,Fulton County,36413,22275
62,30141,Hiram,GA,33.867574,-84.77103000000002,Paulding County,31176,23326
63,30814,Harlem,GA,33.423590000000004,-82.31013,New York County,24462,8538
64,31057,Marshallville,GA,32.446656,-83.93413000000002,Wayne County,19246,2238
65,31795,Ty Ty,GA,31.47387,-83.66484,Tift County,20161,1781
66,30458,Statesboro,GA,32.423083,-81.80677,Bulloch County,16647,43597
67,31299,Macon,GA,32.806707,-83.691315,Bibb County,,
68,31498,Savannah,GA,31.971394,-81.07155999999998,Chatham County,,
69,31555,Odum,GA,31.670475,-82.04944,Oklahoma County,22345,2793
70,31700,Albany,GA,31.564274,-84.165407,Albany County,,
71,31072,Pitts,GA,31.951839,-83.56747,Montgomery County,23417,1357
72,30439,Metter,GA,32.414401,-82.05534,Candler County,18192,10823
73,31836,Woodland,GA,32.797475,-84.54095,Yolo County,23859,849
74,30448,Nunez,GA,32.49126,-82.36787,St. Bernard Parish,41250,76
75,30833,Wrens,GA,33.200325,-82.37625,Jefferson County,18634,3065
76,31020,Dry Branch,GA,32.719907,-83.4905,Twiggs County,18750,1688
77,30139,Fairmount,GA,34.434629,-84.70133,Sedgwick County,28901,4143
78,31318,Meldrim,GA,32.141974,-81.37892,Effingham County,30022,432
79,30453,Reidsville,GA,32.057356,-82.1214,Rockingham County,14460,10775
80,31740,Cuthbert,GA,31.781815,-84.76444000000002,Randolph County,,
81,30072,Pine Lake,GA,33.791505,-84.20642,DeKalb County,40599,727
82,30527,Clermont,GA,34.481514000000004,-83.78599,Lake County,26373,4377
83,31310,Hinesville,GA,31.806832,-81.437074,Liberty County,,
84,31510,Alma,GA,31.551458,-82.44618,Crawford County,20124,9914
85,31017,Danville,GA,32.600844,-83.24549,Contra Costa County,20712,1913
86,31213,Macon,GA,32.839289,-83.638752,Bibb County,-666666666,0
87,31636,Lake Park,GA,30.722890000000003,-83.13302,San Luis Obispo County,22008,10640
88,30058,Lithonia,GA,33.750257,-84.0964,DeKalb County,27221,57658
89,30669,Union Point,GA,33.652489,-83.08856999999998,Tulsa County,18477,3429
90,30157,Dallas,GA,33.892503999999995,-84.8346,Dallas County,32003,49342
91,30881,Atlanta,GA,33.793006,-84.504081,Fulton County,,
92,30322,Atlanta,GA,33.793754,-84.3238,Fulton County,2499,2847
93,30426,Girard,GA,33.032445,-81.63251,Crawford County,20893,782
94,30739,Rock Spring,GA,34.801988,-85.21956,Walker County,29036,6460
95,31013,Clinchfield,GA,32.338639,-83.692562,Unicoi County,,
96,30806,Boneville,GA,33.527993,-82.5104,McDuffie County,,
97,31557,Patterson,GA,31.372403,-82.10743000000002,Tulsa County,25316,3229
98,30470,Tarrytown,GA,32.309128,-82.52255,Westchester County,27708,338
99,31535,Douglas,GA,31.464973,-82.86325,Douglas County,23922,11865
