,Hospital name,City,County,Acute Care Beds,YearFounded,Affiliation,Notes,Place ID,Hospital Latitude,Hospital Longtitude,Street Address,State,Hospital Zip Code,Full Address,City Zip Code,City Latitude,City Longtitude,Median Income,Population,Joined
0,AdventHealth Gordon,Calhoun,Gordon County,69,,AdventHealth,Formerly Gordon Hospital,ChIJfVjpjer9X4gRGK7NwGG_tbg,34.510205400000004,-84.9263043,1035 Red Bud Road Northeast,Georgia,30701.0,"1035 Red Bud Rd NE, Calhoun, GA 30701, USA",30702.0,34.487832999999995,-84.8500705,24110,40820,False
1,AdventHealth Murray,Chatsworth,Murray County,29,,AdventHealth,Formerly Murray Medical Center,ChIJ-U0scjndX4gRG-FoXnNaHI4,34.779955799999996,-84.7830378,707 Old Dalton Ellijay Road,Georgia,30705.0,"707 Old Dalton Ellijay Rd, Chatsworth, GA 30705, USA",30705.0,34.753129,-84.77502,24457,33460,False
2,Archbold Memorial Hospital,Thomasville,Thomas County,264,1925,Archbold,,ChIJsxblg8q17YgR8XXHSBDuObQ,30.825169300000002,-83.9721278,915 Gordon Avenue,Georgia,31792.0,"915 Gordon Ave, Thomasville, GA 31792, USA",31776.5,30.86250425,-83.92881175000001,22498,20703,False
3,Archbold - Brooks County Hospital,Quitman,Brooks County,25,,Archbold,,ChIJiyuklBp_7ogRmoGX5XNztMM,30.795038800000004,-83.559146,903 North Court Street,Georgia,31643.0,"903 N Court St, Quitman, GA 31643, USA",31643.0,30.783639,-83.55343,24644,9062,False
5,Archbold - Mitchell County Hospital,Camilla,Mitchell County,25,,Archbold,,ChIJswuXyhic7YgRuk38qsPrYt4,31.229772999999998,-84.2053167,90 East Stephens Street,Georgia,31730.0,"90 E Stephens St, Camilla, GA 31730, USA",31730.0,31.209853999999996,-84.23666999999998,21584,8419,False
6,Beverly Knight Olson Children's Hospital,Macon,Bibb County,0,,Atrium/Navicent,,ChIJDyOjXYf-84gREfrs3wfa6is,32.8347369,-83.63654720000001,888 Pine Street,Georgia,31201.0,"888 Pine St, Macon, GA 31201, USA",31232.347826086956,32.81715886956521,-83.67255700000001,-33312586,19256,False
7,Coliseum Medical Centers,Macon,Bibb County,237,1971,HCA,,ChIJhYCxJGr-84gRK_dSQps0X5I,32.846841,-83.618814,350 Hospital Drive,Georgia,31217.0,"350 Hospital Dr, Macon, GA 31217, USA",31232.347826086956,32.81715886956521,-83.67255700000001,-33312586,19256,False
8,Coliseum Northside Hospital,Macon,Bibb County,103,1984,HCA,,ChIJ35QKcSP584gRiQKKoA2x3fU,32.8713155,-83.69459789999998,400 Charter Boulevard,Georgia,31210.0,"400 Charter Blvd, Macon, GA 31210, USA",31232.347826086956,32.81715886956521,-83.67255700000001,-33312586,19256,False
9,"The Medical Center, Navicent Health",Macon,Bibb County,639,1895,Atrium/Navicent,,ChIJccj0KX7-84gRK3nqvH5rtFI,32.833819500000004,-83.63654439999998,777 Hemlock Street,Georgia,31201.0,"777 Hemlock St, Macon, GA 31201, USA",31232.347826086956,32.81715886956521,-83.67255700000001,-33312586,19256,False
10,Bleckley Memorial Hospital,Cochran,Bleckley County,25,,â,,ChIJufSZq3Ju8YgRA57sJUnVeUY,32.3846628,-83.3466696,145 Peacock Street,Georgia,31014.0,"145 Peacock St, Cochran, GA 31014, USA",31014.0,32.397039,-83.3404,22125,13265,False
11,"Cancer Treatment Centers of America, Atlanta",Newnan,Coweta County,0,2012,CTCA,,ChIJpVsvHDrG9IgRoTnJMqk9gxY,33.3846018,-84.7580613,600 Celebrate Life Parkway,Georgia,30265.0,"600 Celebrate Life Pkwy, Newnan, GA 30265, USA",30265.75,33.37526725,-84.77692549999999,30791,52701,False
12,Piedmont Newnan Hospital,Newnan,Coweta County,143,,Piedmont,,ChIJcVBB8B3J9IgRp7oUvD0s4hY,33.35780160000001,-84.7551974,745 Poplar Road,Georgia,30265.0,"745 Poplar Rd, Newnan, GA 30265, USA",30265.75,33.37526725,-84.77692549999999,30791,52701,False
13,Candler County Hospital,Metter,Candler County,25,,â,,ChIJrWBLz0Ny-ogR8R0ug_DBCQw,32.4071132,-82.06570110000001,400 Cedar Street,Georgia,30439.0,"400 Cedar St, Metter, GA 30439, USA",30439.0,32.414401,-82.05534,18192,10823,False
14,Cartersville Medical Center,Cartersville,Bartow County,112,,HCA,,ChIJR0MVh-pP9YgRj3CKiKfV8J4,34.201330600000006,-84.7945608,960 Joe Frank Harris Parkway Southeast,Georgia,30120.0,"960 Joe Frank Harris Pkwy SE, Cartersville, GA 30120, USA",30120.5,34.1837955,-84.80148500000001,28639,32313,False
15,Chatuge Regional Hospital,Hiawassee,Towns County,137,,Union Regional,,ChIJv9VwMlwvX4gRInxd_l5gGEk,34.946750099999996,-83.75371249999998,110 South Main Street,Georgia,30546.0,"110 S Main St, Hiawassee, GA 30546, USA",30546.0,34.923846999999995,-83.7231,22820,6969,False
16,CHI Memorial Hospital Georgia,Fort Oglethorpe,Catoosa County,36,,CHI,"Formerly Cornerstone Medical Center, previously Hutcheson Medical Center",ChIJoSI7iAdoYIgRYFrfQLt3nOA,34.9469261,-85.26400090000001,100 Gross Crescent,Georgia,30742.0,"100 Gross Crescent, Fort Oglethorpe, GA 30742, USA",30742.0,34.948979,-85.25211999999998,24406,7842,False
17,Children's Healthcare of Atlanta Egleston,Atlanta,DeKalb County,0,1928,CHOA,,ChIJR4J4LPoG9YgRJLnI9mqd85c,33.79349169999999,-84.3195325,1405 East Clifton Road Northeast,Georgia,30322.0,"1405 E Clifton Rd NE, Atlanta, GA 30322, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
18,Emory University Hospital,Atlanta,DeKalb County,569,,Emory,,ChIJyYqdV_oG9YgRPvDOKl57PEo,33.791418799999995,-84.32040390000002,1364 Clifton Road,Georgia,30322.0,"1364 Clifton Rd, Atlanta, GA 30322, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
19,University Hospital,Atlanta,DeKalb County,812,1818,University Health,,ChIJyYqdV_oG9YgRPvDOKl57PEo,33.791418799999995,-84.32040390000002,1364 Clifton Road,Georgia,30322.0,"1364 Clifton Rd, Atlanta, GA 30322, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
20,Children's Healthcare of Atlanta Hughes Spalding,Atlanta,Fulton County,0,1952,CHOA,,ChIJE0RlP4kD9YgRf-FdJvSfWXw,33.7539006,-84.38200929999998,Jesse Hill Junior Drive Southeast Downtown Atlanta,Georgia,30303.0,"35 Jesse Hill Jr Dr SE, Atlanta, GA 30303, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
21,Children's Healthcare of Atlanta Scottish Rite,Atlanta,Fulton County,0,1915,CHOA,,ChIJV-6vqjQJ9YgRhvQE1FyLn-g,33.9062197,-84.35319860000001,Johnson Ferry Road Northeast Perimeter Center,Georgia,30342.0,"1001 Johnson Ferry Rd NE, Atlanta, GA 30342, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
22,Emory Saint Joseph's Hospital,Atlanta,Fulton County,276,1880,Emory,Formerly Saint Joseph's Hospital of Atlanta,ChIJW3epPTQJ9YgRxf9a5U20qNg,33.908422200000004,-84.34985069999998,Peachtree Dunwoody Road Perimeter Center,Georgia,30342.0,"5665 Peachtree Dunwoody Rd, Atlanta, GA 30342, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
23,Emory University Hospital Midtown,Atlanta,Fulton County,511,1908,Emory,Formerly Crawford W. Long Memorial Hospital,ChIJ42AWonoE9YgRonLLiSdYxtA,33.7686596,-84.3864181,Peachtree Street Northeast SoNo,Georgia,30308.0,"550 Peachtree St NE, Atlanta, GA 30308, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
24,Grady Memorial Hospital,Atlanta,Fulton County,961,1892,â,,ChIJ6Rc8z44D9YgR28vCVjqbUGw,33.75178499999999,-84.3820071,Jesse Hill Junior Drive Southeast Downtown Atlanta,Georgia,30303.0,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
25,Northside Hospital Atlanta,Atlanta,Fulton County,537,1970,Northside,,ChIJj6xqLcsO9YgRxOHBb9ihhFs,33.909069099999996,-84.3533506,Johnson Ferry Road Northeast Perimeter Center,Georgia,30342.0,"1000 Johnson Ferry Rd NE, Atlanta, GA 30342, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
26,Piedmont Atlanta Hospital,Atlanta,Fulton County,498,,Piedmont,,ChIJZ2L4-KkF9YgRtyK-3YkszI8,33.808755299999994,-84.3955567,Peachtree Road Northwest Buckhead,Georgia,30309.0,"1968 Peachtree Rd NW, Atlanta, GA 30309, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
27,St. Joseph's Hospital,Atlanta,Fulton County,330,1875,SJCHS,,ChIJW3epPTQJ9YgRxf9a5U20qNg,33.908422200000004,-84.34985069999998,Peachtree Dunwoody Road Perimeter Center,Georgia,30342.0,"5665 Peachtree Dunwoody Rd, Atlanta, GA 30342, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664,25919,False
