,City,County,City Latitude,City Longtitude,Population,Median Income,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital
0,Calhoun,Gordon County,34.487832999999995,-84.8500705,40820,24110,1,1,1,22,59,4.615698121760696
1,Chatsworth,Murray County,34.753129,-84.77502,33460,24457,1,1,3,12,57,1.904655239221261
2,Thomasville,Thomas County,30.86250425,-83.92881175000002,20703,22498,1,1,1,9,20,3.6392618955869778
3,Quitman,Brooks County,30.783639,-83.55343,9062,24644,1,1,2,10,21,0.8557411901169643
4,Camilla,Mitchell County,31.209854,-84.23666999999998,8419,21584,1,1,1,9,23,2.3084971198380493
5,Macon,Bibb County,32.81715886956521,-83.67255700000003,19256,-33312586,4,4,7,18,77,2.389252939126286
6,Macon,Bibb County,32.81715886956521,-83.67255700000003,19256,-33312586,4,4,7,18,77,2.389252939126286
7,Macon,Bibb County,32.81715886956521,-83.67255700000003,19256,-33312586,4,4,7,18,77,2.389252939126286
8,Macon,Bibb County,32.81715886956521,-83.67255700000003,19256,-33312586,4,4,7,18,77,2.389252939126286
9,Cochran,Bleckley County,32.397039,-83.3404,13265,22125,1,1,3,15,55,0.9282354686219599
10,Newnan,Coweta County,33.37526725,-84.77692549999998,52701,30791,2,2,3,33,71,1.2662909605977097
11,Newnan,Coweta County,33.37526725,-84.77692549999998,52701,30791,2,2,3,33,71,1.2662909605977097
12,Metter,Candler County,32.414401,-82.05534,10823,18192,1,1,3,10,37,0.7867433697810604
13,Cartersville,Bartow County,34.1837955,-84.80148500000001,32313,28639,1,1,3,38,64,1.2720295794070866
14,Hiawassee,Towns County,34.923846999999995,-83.7231,6969,22820,1,1,2,8,52,2.347911597854445
15,Fort Oglethorpe,Catoosa County,34.948979,-85.25211999999998,7842,24406,1,1,2,7,43,0.6890455419840258
16,Atlanta,DeKalb County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
17,Atlanta,DeKalb County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
18,Atlanta,DeKalb County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
19,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
20,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
21,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
22,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
23,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
24,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
25,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
26,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
27,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
28,Atlanta,Fulton County,33.82845866666669,-84.40236618918918,25919,-21943664,3,16,23,44,78,1.4133649083905429
29,Homerville,Clinch County,31.062818,-82.72399,5622,20275,1,1,1,8,28,3.103250025016875
30,Douglas,Coffee County,31.519537,-82.85313700000002,14954,20942,1,1,1,11,37,0.8908096516887559
31,Moultrie,Colquitt County,31.169027000000003,-83.7820495,22858,21032,1,1,1,14,25,2.979975964866071
32,Cordele,Crisp County,31.9340385,-83.7817225,21549,17401,1,1,1,15,46,2.9976104160186208
33,Augusta,Richmond County,33.42063449999999,-82.08491662499998,32850,-51259555,2,4,4,7,30,4.558318116406382
34,Augusta,Richmond County,33.42063449999999,-82.08491662499998,32850,-51259555,2,4,4,7,30,4.558318116406382
35,Augusta,Richmond County,33.42063449999999,-82.08491662499998,32850,-51259555,2,4,4,7,30,4.558318116406382
36,Augusta,Richmond County,33.42063449999999,-82.08491662499998,32850,-51259555,2,4,4,7,30,4.558318116406382
37,Eastman,Dodge County,32.193953,-83.1848,14276,21081,1,1,3,13,53,0.7129863045399096
38,Fitzgerald,Ben Hill County,31.720029,-83.25093000000003,18322,20822,1,2,2,13,43,1.6422335255754628
39,Statesboro,Bulloch County,32.444667249999995,-81.77462,25909,16630,1,1,2,12,27,2.095916636206049
40,Springfield,Effingham County,32.390879,-81.32427,9950,27305,1,1,1,9,21,1.844189544029817
41,Elberton,Elbert County,34.119972,-82.825,14964,21478,1,1,1,7,56,2.885208575997699
42,Swainsboro,Emanuel County,32.605196,-82.3391,13598,20101,1,1,1,10,43,0.9778262256939376
43,Decatur,DeKalb County,33.802006750000004,-84.19094749999998,37842,33401,2,7,22,44,79,3.701614600228738
44,Decatur,DeKalb County,33.802006750000004,-84.19094749999998,37842,33401,2,7,22,44,79,3.701614600228738
45,Lithonia,DeKalb County,33.7133075,-84.12510499999998,48381,28433,1,2,22,43,80,1.4176505064030887
46,Tucker,DeKalb County,33.872552,-84.14746,38484,33845,0,5,21,46,78,6.622031948760932
47,Claxton,Evans County,32.162077000000004,-81.90984,10777,23948,1,1,4,14,30,0.7078973275523186
48,Dublin,Laurens County,32.54518466666667,-82.88610466666667,21916,21535,1,1,1,14,53,3.8684164184357357
49,Montezuma,Macon County,32.293293,-83.98913,4928,18672,1,1,1,16,48,2.3922562457130074
50,Rome,Floyd County,34.298378,-85.21452579999999,27633,-166648942,2,2,3,16,55,1.8636398439622117
51,Rome,Floyd County,34.298378,-85.21452579999999,27633,-166648942,2,2,3,16,55,1.8636398439622117
52,Cedartown,Polk County,34.010162,-85.25761999999997,23814,23343,1,1,3,13,55,3.513967679065826
53,Dalton,Whitfield County,34.77704425,-84.96687425,40921,25269,1,1,3,10,54,1.3556782792910265
54,Bremen,Haralson County,33.723939,-85.14282,13190,26211,1,1,3,29,59,0.5008240081644689
55,Warner Robins,Houston County,32.596278999999996,-83.642259,28984,28877,2,3,7,17,70,1.5236664556017512
56,Warner Robins,Houston County,32.596278999999996,-83.642259,28984,28877,2,3,7,17,70,1.5236664556017512
57,Ocilla,Irwin County,31.586426,-83.27583,6737,17566,1,2,3,14,38,1.857421509878579
58,Monticello,Jasper County,33.319093,-83.70862,9071,22079,1,1,3,35,81,1.319209945350994
59,Hazlehurst,Jeff Davis County,31.844772,-82.59809,14645,21532,1,1,1,11,46,1.0078371273047346
60,Millen,Jenkins County,32.802448,-81.98380999999998,7617,17210,1,1,2,13,34,2.878262304322086
61,Hinesville,Liberty County,31.817703499999997,-81.526622,40916,28303,1,1,1,9,19,4.623924262151936
62,Vidalia,Toombs County,32.198834000000005,-82.3944095,8332,-333322390,1,1,2,10,46,1.3027349378799358
63,Byron,Peach County,32.652313,-83.75918,18381,31807,1,3,7,19,70,3.2661215500395375
64,Waycross,Ware County,31.148069000000003,-82.38107099999999,16850,23209,0,1,1,5,27,5.657233919394639
65,Forsyth,Monroe County,33.0409,-83.92941,16459,25070,1,1,3,21,75,1.1327005690211887
66,Madison,Morgan County,33.588436,-83.47936,12063,28750,1,1,3,21,80,1.3806110850087172
67,Milledgeville,Baldwin County,33.085358500000005,-83.229445,22130,18000,1,1,2,17,78,0.9719594113874845
68,Gainesville,Hall County,34.305405666666665,-83.8595845,32153,25534,1,1,4,38,69,2.5080537574001833
69,Winder,Barrow County,33.992538,-83.71061,42975,26214,1,1,5,42,78,1.0875903081740512
70,Braselton,Hall County,34.121974,-83.78604,14657,37419,1,2,5,37,74,2.9870461469732463
71,Dahlonega,Lumpkin County,34.534884500000004,-83.9890295,26683,22180,1,1,2,23,65,1.116717477736788
72,Commerce,Jackson County,34.18364133333333,-83.47990966666667,9733,25649,1,1,3,18,74,2.54004132139722
73,Canton,Cherokee County,34.2112535,-84.47143,47157,34793,1,1,6,42,67,1.2780662725809813
