,0
0,Abbeville
1,Acworth
2,Adairsville
3,Adel
4,Adrian
5,Ailey
6,Alamo
7,Alapaha
8,Albany
9,Allenhurst
10,Allentown
11,Alma
12,Alpharetta
13,Alston
14,Alto
15,Ambrose
16,Americus
17,Andersonville
18,Appling
19,Arabi
20,Argyle
21,Armuchee
22,Arnoldsville
23,Ashburn
24,Atlanta
25,Auburn
26,Augusta
27,Austell
28,Avera
29,Avondale Estates
30,Axson
31,Baconton
32,Baldwin
33,Ball Ground
34,Barnesville
35,Barney
36,Bartow
37,Barwick
38,Baxley
39,Bishop
40,Blackshear
41,Blairsville
42,Bloomingdale
43,Blue Ridge
44,Blythe
45,Bogart
46,Boston
47,Bostwick
48,Bowdon
49,Bowersville
50,Bowman
51,Box Springs
52,Braselton
53,Bristol
54,Brooklet
55,Brooks
56,Broxton
57,Brunswick
58,Buchanan
59,Buckhead
60,Buena Vista
61,Buford
62,Butler
63,Byromville
64,Byron
65,Cadwell
66,Calhoun
67,Camak
68,Camilla
69,Canon
70,Canton
71,Carlton
72,Carnesville
73,Carrollton
74,Cartersville
75,Cataula
76,Cave Spring
77,Cecil
78,Cedartown
79,Centerville
80,Chatsworth
81,Chauncey
82,Cherrylog
83,Chester
84,Chickamauga
85,Chula
86,Cisco
87,Clarkesville
88,Clarkston
89,Claxton
90,Clayton
91,Clermont
92,Cleveland
93,Clyo
94,Cobb
95,Cobbtown
96,Cochran
97,Cohutta
98,Colbert
99,Collins
100,Columbus
101,Comer
102,Commerce
103,Concord
104,Conley
105,Conyers
106,Coolidge
107,Cordele
108,Cornelia
109,Covington
110,Crandall
111,Crawford
112,Crawfordville
113,Culloden
114,Cumming
115,Cusseta
116,Dacula
117,Dahlonega
118,Daisy
119,Dallas
120,Dalton
121,Danielsville
122,Danville
123,Darien
124,Davisboro
125,Dawsonville
126,De Soto
127,Dearing
128,Decatur
129,Demorest
130,Denton
131,Dewy Rose
132,Dexter
133,Dillard
134,Dixie
135,Doerun
136,Douglas
137,Douglasville
138,Dry Branch
139,Du Pont
140,Dudley
141,Duluth
142,Eastanollee
143,Eastman
144,Eatonton
145,Eden
146,Elberton
147,Elko
148,Ellabell
149,Ellaville
150,Ellenton
151,Ellenwood
152,Ellerslie
153,Ellijay
154,Emerson
155,Enigma
156,Epworth
157,Evans
158,Fairburn
159,Fairmount
160,Fargo
161,Fayetteville
162,Fitzgerald
163,Fleming
164,Flintstone
165,Flovilla
166,Flowery Branch
167,Folkston
168,Forsyth
169,Fort Oglethorpe
170,Fort Stewart
171,Fort Valley
172,Fortson
173,Franklin
174,Gainesville
175,Garfield
176,Gay
177,Geneva
178,Gibson
179,Gillsville
180,Girard
181,Glennville
182,Glenwood
183,Good Hope
184,Gordon
185,Gracewood
186,Grantville
187,Gray
188,Grayson
189,Greensboro
190,Greenville
191,Griffin
192,Grovetown
193,Guyton
194,Haddock
195,Hagan
196,Hahira
197,Hamilton
198,Harlem
199,Harrison
200,Hartwell
201,Hawkinsville
202,Hazlehurst
203,Helen
204,Helena
205,Hephzibah
206,Hiawassee
207,Hillsboro
208,Hinesville
209,Hiram
210,Hoboken
211,Hogansville
212,Homer
213,Homerville
214,Hortense
215,Hoschton
216,Ideal
217,Irwinton
218,Jackson
219,Jacksonville
220,Jasper
221,Jefferson
222,Jeffersonville
223,Jenkinsburg
224,Jesup
225,Jonesboro
226,Juliette
227,Junction City
228,Kathleen
229,Kennesaw
230,Keysville
231,Kings Bay
232,Kingsland
233,Kingston
234,Kite
235,Knoxville
236,La Fayette
237,Lagrange
238,Lake Park
239,Lakeland
240,Lakemont
241,Lavonia
242,Lawrenceville
243,Leesburg
244,Lenox
245,Leslie
246,Lexington
247,Lilburn
248,Lilly
249,Lincolnton
250,Lindale
251,Lithia Springs
252,Lithonia
253,Lizella
254,Locust Grove
255,Loganville
256,Lookout Mountain
257,Louisville
258,Louvale
259,Lovejoy
260,Ludowici
261,Lula
262,Lumber City
263,Lumpkin
264,Luthersville
265,Lyerly
266,Lyons
267,Mableton
268,Macon
269,Madison
270,Manchester
271,Manor
272,Mansfield
273,Marietta
274,Marshallville
275,Martin
276,Matthews
277,Mauk
278,Maysville
279,McCaysville
280,McIntyre
281,McRae
282,Mcdonough
283,Meansville
284,Meigs
285,Meldrim
286,Menlo
287,Mershon
288,Metter
289,Midland
290,Midville
291,Midway
292,Milan
293,Milledgeville
294,Millen
295,Millwood
296,Milner
297,Mineral Bluff
298,Mitchell
299,Molena
300,Monroe
301,Montezuma
302,Monticello
303,Montrose
304,Moreland
305,Morganton
306,Morrow
307,Morven
308,Moultrie
309,Mount Airy
310,Mount Berry
311,Mount Vernon
312,Mountain City
313,Murrayville
314,Musella
315,Nahunta
316,Nashville
317,Naylor
318,Newborn
319,Newington
320,Newnan
321,Nicholls
322,Nicholson
323,Norcross
324,Norman Park
325,Norwood
326,Nunez
327,Oakfield
328,Oakwood
329,Ochlocknee
330,Ocilla
331,Oconee
332,Odum
333,Offerman
334,Oglethorpe
335,Oliver
336,Omaha
337,Omega
338,Oxford
339,Palmetto
340,Patterson
341,Pavo
342,Peachtree City
343,Pearson
344,Pelham
345,Pembroke
346,Pendergrass
347,Perkins
348,Perry
349,Pine Lake
350,Pine Mountain
351,Pine Mountain Valley
352,Pinehurst
353,Pineview
354,Pitts
355,Plains
356,Plainville
357,Pooler
358,Portal
359,Porterdale
360,Poulan
361,Powder Springs
362,Preston
363,Quitman
364,Rabun Gap
365,Ranger
366,Ray City
367,Rayle
368,Rebecca
369,Register
370,Reidsville
371,Rentz
372,Resaca
373,Rex
374,Reynolds
375,Riceboro
376,Richland
377,Richmond Hill
378,Ringgold
379,Rising Fawn
380,Riverdale
381,Roberta
382,Rochelle
383,Rock Spring
384,Rockledge
385,Rockmart
386,Rocky Face
387,Rocky Ford
388,Rome
389,Roopville
390,Rossville
391,Roswell
392,Royston
393,Rutledge
394,Rydal
395,Saint Marys
396,Saint Simons Island
397,Sale City
398,Sandersville
399,Sapelo Island
400,Sardis
401,Sautee Nacoochee
402,Savannah
403,Scottdale
404,Screven
405,Senoia
406,Seville
407,Shady Dale
408,Sharon
409,Sharpsburg
410,Shiloh
411,Siloam
412,Silver Creek
413,Smithville
414,Smyrna
415,Snellville
416,Social Circle
417,Soperton
418,Sparks
419,Springfield
420,Stapleton
421,Statenville
422,Statesboro
423,Statham
424,Stephens
425,Stillmore
426,Stockbridge
427,Stockton
428,Stone Mountain
429,Suches
430,Sugar Valley
431,Summerville
432,Sumner
433,Sunny Side
434,Surrency
435,Suwanee
436,Swainsboro
437,Sycamore
438,Sylvania
439,Sylvester
440,Talbotton
441,Talking Rock
442,Tallapoosa
443,Tallulah Falls
444,Talmo
445,Tarrytown
446,Tate
447,Taylorsville
448,Temple
449,Tennga
450,Tennille
451,The Rock
452,Thomaston
453,Thomasville
454,Thomson
455,Tifton
456,Tiger
457,Tignall
458,Toccoa
459,Toomsboro
460,Townsend
461,Trenton
462,Trion
463,Tucker
464,Tunnel Hill
465,Twin City
466,Ty Ty
467,Tybee Island
468,Tyrone
469,Unadilla
470,Union City
471,Union Point
472,Upatoi
473,Uvalda
474,Valdosta
475,Varnell
476,Vidalia
477,Villa Rica
478,Waco
479,Wadley
480,Waleska
481,Warm Springs
482,Warner Robins
483,Warrenton
484,Warthen
485,Warwick
486,Watkinsville
487,Waverly
488,Waverly Hall
489,Waycross
490,Waynesville
491,West Green
492,West Point
493,Weston
494,White
495,White Oak
496,White Plains
497,Whitesburg
498,Wildwood
499,Willacoochee
500,Williamson
501,Winder
502,Winston
503,Winterville
504,Woodbine
505,Woodbury
506,Woodland
507,Woodstock
508,Wray
509,Wrens
510,Wrightsville
511,Yatesville
512,Young Harris
513,Zebulon
