,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,County
15,31150,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
16,31646,Saint George,GA,30.518903,-82.08063,-5,1,"30.518903,-82.08063",Washington County
17,31826,Shiloh,GA,32.803518,-84.69384000000001,-5,1,"32.803518,-84.69384",Hardin County
65,30334,Atlanta,GA,33.702657,-84.439127,-5,1,"33.702657,-84.439127",Fulton County
70,31606,Valdosta,GA,30.802411,-83.19624,-5,1,"30.802411,-83.19624",Lowndes County
76,31732,Cedar Springs,GA,31.169794,-85.0557,-5,1,"31.169794,-85.0557",Kent County
97,30444,East Point,GA,33.696073,-84.450276,-5,1,"33.696073,-84.450276",Fulton County
125,30531,Cornelia,GA,34.514215,-83.54118000000001,-5,1,"34.514215,-83.54118",Habersham County
202,30746,Sugar Valley,GA,34.574804,-85.02481999999999,-5,1,"34.574804,-85.02482",Gordon County
271,30415,Brooklet,GA,32.3456,-81.62339,-5,1,"32.3456,-81.62339",Bulloch County
272,31525,Brunswick,GA,31.260995,-81.49831999999999,-5,1,"31.260995,-81.49832",Medina County
304,30263,Newnan,GA,33.38779,-84.82536,-5,1,"33.38779,-84.82536",Coweta County
305,30384,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
306,30728,La Fayette,GA,34.696201,-85.25824,-5,1,"34.696201,-85.25824",Chambers County
307,31714,Ashburn,GA,31.709742,-83.66519,-5,1,"31.709742,-83.66519",Loudoun County
368,30747,Summerville,GA,34.489847999999995,-85.32928000000001,-5,1,"34.489848,-85.32928",Dorchester County
369,31754,Georgetown,GA,31.860476000000002,-85.07534,-5,1,"31.860476,-85.07534",n/a
394,30339,Atlanta,GA,33.87507,-84.46615,-5,1,"33.87507,-84.46615",Fulton County
458,30354,Atlanta,GA,33.658834000000006,-84.39681999999999,-5,1,"33.658834,-84.39682",Fulton County
524,31069,Perry,GA,32.460791,-83.73541,-5,1,"32.460791,-83.73541",Noble County
537,30663,Rutledge,GA,33.614556,-83.61157,-5,1,"33.614556,-83.61157",Delaware County
