,0
0,Atlanta
1,Saint George
2,Shiloh
3,Valdosta
4,Cedar Springs
5,East Point
6,Cornelia
7,Sugar Valley
8,Brooklet
9,Brunswick
10,Newnan
11,La Fayette
12,Ashburn
13,Summerville
14,Georgetown
15,Perry
16,Rutledge
17,Kingston
18,Maxeys
19,Americus
20,Doerun
21,Lakemont
22,Thomasville
23,Clarkdale
24,Pineview
25,Pendergrass
26,Augusta
27,Portal
28,Covington
29,Pine Mountain
30,Columbus
31,Manchester
32,Marble Hill
33,Winston
34,Musella
35,Smyrna
36,Lakeland
37,Jenkinsburg
38,Wray
39,Lookout Mountain
40,Meigs
41,Jeffersonville
42,Danielsville
43,Macon
44,Mershon
45,Cohutta
46,Sharpsburg
47,Gray
48,Canton
49,Ludowici
50,Douglas
51,Hiram
52,Harlem
53,Marshallville
54,Ty Ty
55,Statesboro
56,Savannah
57,Odum
58,Albany
59,Pitts
60,Metter
61,Woodland
62,Nunez
63,Wrens
64,Dry Branch
65,Fairmount
66,Meldrim
67,Reidsville
68,Cuthbert
69,Pine Lake
70,Clermont
71,Hinesville
72,Alma
73,Danville
74,Lake Park
75,Lithonia
76,Union Point
77,Dallas
78,Girard
79,Rock Spring
80,Clinchfield
81,Boneville
82,Patterson
83,Tarrytown
84,Fort Gaines
85,Newton
86,Marietta
87,Dacula
88,Byron
89,Hardwick
90,Coosa
91,White Plains
92,Cartersville
93,Homerville
94,Tallulah Falls
95,Stillmore
96,Tyrone
97,Dillard
98,Pelham
99,Knoxville
100,Dawson
101,Jewell
102,Dewy Rose
103,Surrency
104,Alpharetta
105,Newborn
106,Ellenwood
107,Jesup
108,Elko
109,Weston
110,Helen
111,Buford
112,Evans
113,Soperton
114,Fort Valley
115,Kite
116,Peachtree City
117,Fayetteville
118,Oakman
119,Milledgeville
120,Hampton
121,Camak
122,Smithville
123,Moreland
124,Riverdale
125,Blairsville
126,Hephzibah
127,Screven
128,Shannon
129,Canon
130,Wrightsville
131,Blue Ridge
132,Decatur
133,Varnell
134,Blackshear
135,Fortson
136,Cave Spring
