,Median Income,Population,State_Code,ZIP,City,State
595,14940,2792,13,184,Abbeville, Georgia
280,32449,22336,13,408,Acworth, Georgia
407,30675,4792,13,436,Adairsville, Georgia
272,22791,5290,13,576,Adel, Georgia
247,15913,558,13,660,Adrian, Georgia
531,14375,563,13,828,Ailey, Georgia
337,33565,3362,13,996,Alamo, Georgia
124,19336,814,13,1024,Alapaha, Georgia
109,20219,74631,13,1052,Albany, Georgia
412,25795,123,13,1248,Aldora, Georgia
338,27235,915,13,1472,Allenhurst, Georgia
332,18125,123,13,1500,Allen, Georgia
195,16340,3474,13,1612,Alma, Georgia
29,54157,64672,13,1696,Alpharetta, Georgia
528,16985,185,13,1808,Alston, Georgia
68,25307,1308,13,1948,Alto, Georgia
300,15893,354,13,2060,Ambrose, Georgia
488,17963,15659,13,2116,Americus, Georgia
493,18229,240,13,2256,Andersonville, Georgia
397,13548,1010,13,2536,Appling, Georgia
522,19896,645,13,2564,Arabi, Georgia
454,20841,1382,13,2592,Aragon, Georgia
554,23676,1554,13,2648,Arcade, Georgia
514,16176,217,13,2844,Argyle, Georgia
436,20450,1656,13,2928,Arlington, Georgia
90,28889,429,13,3124,Arnoldsville, Georgia
137,21444,3691,13,3236,Ashburn, Georgia
355,18516,123310,13,3440,Athens-Clarke County (balance), Georgia
295,31660,479655,13,4000,Atlanta, Georgia
483,20476,571,13,4084,Attapulgus, Georgia
141,25609,7303,13,4140,Auburn, Georgia
356,21754,196807,13,4204,Augusta-Richmond County consolidated government (balance), Georgia
284,25970,7276,13,4252,Austell, Georgia
605,26875,185,13,4392,Avalon, Georgia
551,25000,269,13,4448,Avera, Georgia
499,54264,3135,13,4644,Avondale Estates, Georgia
444,21860,1001,13,4840,Baconton, Georgia
583,19800,12152,13,4896,Bainbridge, Georgia
74,25503,3482,13,4980,Baldwin, Georgia
519,35611,1993,13,5036,Ball Ground, Georgia
111,12555,6608,13,5344,Barnesville, Georgia
110,20781,268,13,5680,Bartow, Georgia
339,22176,296,13,5708,Barwick, Georgia
254,16579,4697,13,6016,Baxley, Georgia
82,28875,145,13,6688,Bellville, Georgia
78,23978,15543,13,6884,Belvedere Park, Georgia
48,54955,1994,13,7248,Berkeley Lake, Georgia
304,19511,679,13,7304,Berlin, Georgia
471,23214,930,13,7612,Bethlehem, Georgia
470,41164,328,13,7640,Between, Georgia
560,40774,358,13,8200,Bishop, Georgia
15,18145,3485,13,8284,Blackshear, Georgia
58,14695,625,13,8480,Blairsville, Georgia
517,19098,4690,13,8536,Blakely, Georgia
510,30064,2726,13,8844,Bloomingdale, Georgia
484,19583,1242,13,8928,Blue Ridge, Georgia
297,26406,68,13,8956,Bluffton, Georgia
305,23088,700,13,9040,Blythe, Georgia
296,30613,1390,13,9068,Bogart, Georgia
453,27086,3421,13,9272,Bonanza, Georgia
40,19329,1325,13,9460,Boston, Georgia
301,33313,294,13,9488,Bostwick, Georgia
144,19322,2134,13,9544,Bowdon, Georgia
422,21129,465,13,9656,Bowersville, Georgia
24,17935,849,13,9712,Bowman, Georgia
362,36563,52,13,9852,Boykin, Georgia
429,44746,10509,13,10076,Braselton, Georgia
306,28839,455,13,10104,Braswell, Georgia
430,28280,6311,13,10132,Bremen, Georgia
584,26964,226,13,10608,Brinson, Georgia
236,19286,271,13,10860,Bronwood, Georgia
398,47199,53140,13,10944,Brookhaven, Georgia
307,30503,1751,13,11000,Brooklet, Georgia
12,42404,509,13,11056,Brooks, Georgia
460,20897,1254,13,11504,Broxton, Georgia
72,17896,16034,13,11560,Brunswick, Georgia
219,16026,1435,13,11616,Buchanan, Georgia
178,22143,155,13,11672,Buckhead, Georgia
415,20406,2104,13,11728,Buena Vista, Georgia
155,25513,15185,13,11784,Buford, Georgia
494,21423,1989,13,12120,Butler, Georgia
463,18542,529,13,12232,Byromville, Georgia
100,31155,5108,13,12260,Byron, Georgia
413,17245,489,13,12344,Cadwell, Georgia
185,19282,9528,13,12400,Cairo, Georgia
403,22078,16708,13,12456,Calhoun, Georgia
363,45000,110,13,12484,Calvary, Georgia
468,24464,117,13,12512,Camak, Georgia
481,18513,5000,13,12624,Camilla, Georgia
123,20793,24022,13,12834,Candler-McAfee, Georgia
286,17813,1002,13,12932,Canon, Georgia
364,-666666666,125,13,12960,Canoochee, Georgia
134,26964,27127,13,12988,Canton, Georgia
53,24135,235,13,13184,Carl, Georgia
537,21250,429,13,13212,Carlton, Georgia
86,23466,743,13,13352,Carnesville, Georgia
201,18815,26397,13,13492,Carrollton, Georgia
612,28613,20467,13,13688,Cartersville, Georgia
84,21111,1128,13,14108,Cave Spring, Georgia
308,20234,343,13,14192,Cecil, Georgia
365,-666666666,122,13,14472,Cedar Springs, Georgia
467,20529,9930,13,14500,Cedar, Georgia
253,36196,7671,13,14920,Centerville, Georgia
549,25398,455,13,15026,Centralhatchee, Georgia
261,31324,28748,13,15172,Chamblee, Georgia
590,23427,4271,13,15508,Chatsworth, Georgia
335,32963,2867,13,15552,Chattahoochee Hills, Georgia
234,19571,3727,13,15585,Chattanooga Valley, Georgia
309,19821,369,13,15648,Chauncey, Georgia
366,15156,47,13,15844,Cherry Log, Georgia
274,16641,2121,13,15900,Chester, Georgia
541,22863,3145,13,15984,Chickamauga, Georgia
490,24435,1706,13,16460,Clarkesville, Georgia
262,20786,12762,13,16544,Clarkston, Georgia
276,22832,2359,13,16600,Claxton, Georgia
542,17188,1838,13,16656,Clayton, Georgia
450,31483,902,13,16796,Clermont, Georgia
578,19664,3834,13,16824,Cleveland, Georgia
217,21094,178,13,16908,Climax, Georgia
441,22440,366,13,17272,Cobb, Georgia
54,21551,4869,13,17328,Cochran, Georgia
310,28333,539,13,17496,Cohutta, Georgia
98,20673,624,13,17552,Colbert, Georgia
367,-666666666,19,13,17580,Coleman, Georgia
405,21464,14819,13,17776,College Park, Georgia
443,17278,573,13,17832,Collins, Georgia
446,22500,2194,13,18000,Colquitt, Georgia
302,24290,196670,13,19000,Columbus, Georgia
244,29792,1320,13,19084,Comer, Georgia
88,26615,6742,13,19112,Commerce, Georgia
311,35536,298,13,19168,Concord, Georgia
608,24006,6002,13,19280,Conley, Georgia
423,24620,15882,13,19336,Conyers, Georgia
27,23221,416,13,19392,Coolidge, Georgia
523,14223,10793,13,19616,Cordele, Georgia
491,24498,4290,13,19728,Cornelia, Georgia
505,22002,8160,13,19830,Country Club Estates, Georgia
183,21815,13844,13,20064,Covington, Georgia
184,15773,943,13,20288,Crawford, Georgia
496,19821,564,13,20316,Crawfordville, Georgia
368,24583,497,13,20550,Crooked Creek, Georgia
175,18472,227,13,20848,Culloden, Georgia
553,22681,6027,13,20932,Cumming, Georgia
360,21877,10767,13,21017,Cusseta-Chattahoochee County, Georgia
101,14028,3581,13,21072,Cuthbert, Georgia
